,date,wind_speed_10m,wind_direction_10m,wind_speed_100m,wind_direction_100m
224,2025-07-09 08:00:00+05:30,16.120808,106.2091,22.5,106.26028
225,2025-07-09 09:00:00+05:30,15.874734,119.18071,23.602661,118.71498
226,2025-07-09 10:00:00+05:30,14.266632,119.4758,20.652988,120.3642
227,2025-07-09 11:00:00+05:30,13.327294,106.47696,19.41081,108.939095
228,2025-07-09 12:00:00+05:30,12.440851,121.39022,17.673029,123.36639
229,2025-07-09 13:00:00+05:30,14.264361,137.04541,20.929594,139.18501
230,2025-07-09 14:00:00+05:30,12.399113,129.69904,19.222954,133.86191
231,2025-07-09 15:00:00+05:30,15.536408,133.12215,22.022615,134.00662
232,2025-07-09 16:00:00+05:30,14.529915,131.98714,21.265156,133.28511
233,2025-07-09 17:00:00+05:30,14.757804,120.00484,24.079666,121.551346
234,2025-07-09 18:00:00+05:30,13.672893,110.82097,23.85051,114.0503
235,2025-07-09 19:00:00+05:30,13.842457,102.77125,24.257963,106.821495
236,2025-07-09 20:00:00+05:30,12.6462,94.89901,22.76911,101.398735
237,2025-07-09 21:00:00+05:30,12.241323,89.1575,22.065973,95.61749
238,2025-07-09 22:00:00+05:30,12.496719,101.63361,22.71212,108.00426
239,2025-07-09 23:00:00+05:30,11.832176,103.19062,21.893505,111.714
240,2025-07-10 00:00:00+05:30,12.483749,95.79271,22.355536,103.029205
241,2025-07-10 01:00:00+05:30,12.825552,94.83033,22.700705,100.507965
242,2025-07-10 02:00:00+05:30,14.154915,97.30567,24.295332,99.811195
243,2025-07-10 03:00:00+05:30,15.385525,96.044,26.27753,99.46225
244,2025-07-10 04:00:00+05:30,14.813682,94.87919,25.542881,96.47386
245,2025-07-10 05:00:00+05:30,13.954354,83.333435,24.122683,89.14493
246,2025-07-10 06:00:00+05:30,16.029097,102.319435,26.76195,104.41015
247,2025-07-10 07:00:00+05:30,16.720633,104.33547,25.293684,106.11349
248,2025-07-10 08:00:00+05:30,17.02404,123.35404,24.31333,123.21949
249,2025-07-10 09:00:00+05:30,14.8257065,119.05451,20.590143,121.0496
250,2025-07-10 10:00:00+05:30,16.454992,120.21124,22.689283,121.04165
251,2025-07-10 11:00:00+05:30,15.926694,124.40853,20.969807,124.50858
252,2025-07-10 12:00:00+05:30,13.971756,111.93854,19.66536,113.749504
253,2025-07-10 13:00:00+05:30,14.24163,110.72565,19.689238,112.57961
254,2025-07-10 14:00:00+05:30,8.452336,116.56499,11.9140415,116.9521
255,2025-07-10 15:00:00+05:30,12.172312,113.532364,16.997377,114.39373
256,2025-07-10 16:00:00+05:30,10.32924,112.5431,15.7908325,114.22774
257,2025-07-10 17:00:00+05:30,12.0921955,135.60303,19.87024,137.20262
258,2025-07-10 18:00:00+05:30,9.044888,137.41954,17.564533,135.0001
259,2025-07-10 19:00:00+05:30,8.242743,121.60746,17.430283,125.33142
260,2025-07-10 20:00:00+05:30,7.293888,105.75124,16.263872,117.69938
261,2025-07-10 21:00:00+05:30,6.8399997,90.0,15.256526,109.290146
262,2025-07-10 22:00:00+05:30,9.6480665,81.416466,19.121557,93.77813
263,2025-07-10 23:00:00+05:30,10.948973,99.46225,21.304731,103.68404
264,2025-07-11 00:00:00+05:30,9.12513,104.85866,18.286617,110.75415
265,2025-07-11 01:00:00+05:30,9.080639,103.76081,18.318481,112.533295
266,2025-07-11 02:00:00+05:30,10.694485,96.76608,20.605873,104.15767
267,2025-07-11 03:00:00+05:30,10.644379,93.87845,20.418695,99.1301
268,2025-07-11 04:00:00+05:30,11.196231,94.610565,21.365477,99.700325
269,2025-07-11 05:00:00+05:30,10.182337,98.13002,18.64543,102.82878
270,2025-07-11 06:00:00+05:30,14.857362,109.09359,22.26841,110.33931
271,2025-07-11 07:00:00+05:30,15.060956,114.727295,21.900904,115.301346
272,2025-07-11 08:00:00+05:30,14.411245,117.52514,20.128635,117.710724
273,2025-07-11 09:00:00+05:30,14.913952,113.47101,20.46941,113.86018
274,2025-07-11 10:00:00+05:30,12.236029,116.18805,16.260885,116.28135
275,2025-07-11 11:00:00+05:30,12.156331,117.323814,15.618566,117.45091
276,2025-07-11 12:00:00+05:30,11.855429,120.0685,15.2501545,120.499756
277,2025-07-11 13:00:00+05:30,13.356437,127.333275,17.713316,127.568665
278,2025-07-11 14:00:00+05:30,11.545284,149.03632,14.941085,148.79955
279,2025-07-11 15:00:00+05:30,10.261578,178.99493,13.698934,176.98727
280,2025-07-11 16:00:00+05:30,9.354806,168.90631,12.886039,167.90526
281,2025-07-11 17:00:00+05:30,8.383054,165.06853,12.362475,163.93994
282,2025-07-11 18:00:00+05:30,4.724786,139.63554,11.885453,144.86572
283,2025-07-11 19:00:00+05:30,6.156947,127.875046,13.633737,137.67549
284,2025-07-11 20:00:00+05:30,5.8631387,107.87879,13.681184,122.64463
285,2025-07-11 21:00:00+05:30,8.0899935,122.27562,16.5776,131.47845
286,2025-07-11 22:00:00+05:30,5.8852015,113.42871,13.5,126.86999
287,2025-07-11 23:00:00+05:30,5.4119864,93.814,12.172312,113.532364
288,2025-07-12 00:00:00+05:30,6.3639607,81.86999,13.619471,97.59455
289,2025-07-12 01:00:00+05:30,6.424764,101.3099,14.230248,108.43504
290,2025-07-12 02:00:00+05:30,5.896202,102.33907,13.543131,113.49858
291,2025-07-12 03:00:00+05:30,7.1661706,101.59215,15.25865,107.15251
292,2025-07-12 04:00:00+05:30,7.120815,110.72565,15.455911,116.26658
293,2025-07-12 05:00:00+05:30,9.927779,112.38018,18.201372,118.339035
294,2025-07-12 06:00:00+05:30,11.345712,138.21558,16.5776,138.52155
295,2025-07-12 07:00:00+05:30,9.299225,132.64667,12.351987,133.22856
296,2025-07-12 08:00:00+05:30,9.437563,145.09743,12.534257,144.94049
297,2025-07-12 09:00:00+05:30,8.891343,121.75944,11.638917,121.72356
298,2025-07-12 10:00:00+05:30,11.165805,110.77233,14.810401,110.63763
299,2025-07-12 11:00:00+05:30,10.144082,117.47435,12.96125,117.27668
300,2025-07-12 12:00:00+05:30,8.626865,113.35559,10.8015,113.57472
301,2025-07-12 13:00:00+05:30,7.388775,124.07724,9.236298,123.07069
302,2025-07-12 14:00:00+05:30,6.8423676,125.36255,8.39078,125.39488
303,2025-07-12 15:00:00+05:30,8.649369,192.01146,11.749741,185.2738
